,Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO
424,NVIDIA GeForce RTX 3070 Ti Laptop GPU,0.42%,0.43%,0.43%,0.43%,0.47%,+0.04%
425,Intel HD Graphics 4600,0.35%,0.35%,0.34%,0.39%,0.35%,-0.04%
426,AMD Radeon Vega 3 Graphics,0.48%,0.47%,0.45%,0.47%,0.43%,-0.04%
427,Other,15.53%,14.97%,14.41%,14.83%,13.80%,-1.03%
428,NVIDIA GeForce GT 730,0.46%,0.45%,0.44%,0.44%,0.40%,-0.04%
429,Intel Haswell,17.86%,17.67%,18.46%,18.63%,19.00%,+0.37%
430,Intel HD Graphics 620,0.38%,0.40%,0.37%,0.43%,0.38%,-0.05%
431,Intel Cherryview Cherrytrail,6.13%,6.25%,5.92%,6.45%,6.57%,+0.12%
432,AMD Radeon RX 6800 XT,-,-,-,0.34%,0.36%,+0.02%
433,ATI Radeon HD 5450,2.97%,2.93%,2.96%,2.90%,3.18%,+0.28%
434,NVIDIA GeForce RTX 3050 Ti,0.37%,0.38%,0.34%,-,0.34%,+0.34%
435,AMD Radeon HD 6670,2.01%,1.92%,1.88%,1.72%,1.94%,+0.22%
436,Intel HD Graphics 4000,24.97%,25.38%,24.40%,24.70%,24.38%,-0.32%
437,AMD Radeon HD 6570,2.08%,1.91%,2.14%,1.78%,1.76%,-0.02%
438,Intel Ivy Bridge,16.90%,17.10%,17.92%,18.21%,18.08%,-0.13%
439,ATI Mobility Radeon HD 5000 Series,1.80%,1.74%,1.66%,1.78%,1.59%,-0.19%
440,Intel Valleyview Baytrail,6.18%,6.21%,5.94%,6.46%,6.09%,-0.37%
441,AMD Radeon HD 6900 Series,0.78%,0.77%,0.78%,0.77%,0.82%,+0.05%
442,AMD Radeon HD 6450,2.08%,1.96%,2.17%,2.10%,2.06%,-0.04%
443,ATI Radeon HD 5800 Series,0.78%,0.73%,0.87%,0.78%,0.77%,-0.01%
444,ATI Radeon HD 5700 Series,1.92%,1.91%,1.95%,1.69%,1.77%,+0.08%
445,AMD Radeon 6600M and 6700M Series,1.13%,1.20%,0.86%,0.77%,0.72%,-0.05%
446,AMD Radeon HD 6700 Series,1.83%,1.59%,1.75%,1.67%,1.63%,-0.04%
447,ATI Radeon HD 5570,0.72%,0.60%,0.69%,0.66%,0.62%,-0.04%
448,AMD Radeon HD 6800 Series,1.34%,1.32%,1.26%,1.33%,1.37%,+0.04%
449,AMD Radeon HD 6520G,0.53%,0.45%,0.49%,0.44%,0.47%,+0.03%
450,ATI Radeon HD 5670,0.91%,0.85%,0.85%,0.69%,0.79%,+0.10%
451,AMD Radeon HD 6700M Series,0.60%,0.71%,0.56%,0.38%,0.37%,-0.01%
452,AMD Radeon HD 7400M Series,0.69%,0.65%,0.70%,0.80%,0.73%,-0.07%
453,AMD Radeon HD 6320,-,0.32%,0.34%,-,0.35%,+0.35%
454,Intel Broadwell,0.65%,0.67%,0.73%,0.69%,0.72%,+0.03%
455,AMD Radeon HD 7500/7600 Series,0.41%,0.39%,0.52%,0.40%,0.34%,-0.06%
456,Intel HD Graphics 2500,0.76%,0.99%,0.70%,0.53%,0.54%,+0.01%
457,AMD Radeon HD 6480G,-,0.33%,-,0.30%,0.33%,+0.03%
458,AMD Radeon HD 6310,0.58%,0.56%,0.47%,0.54%,0.46%,-0.08%
459,Intel Sandy Bridge,15.95%,16.29%,17.92%,18.65%,18.61%,-0.04%
460,AMD Radeon HD 6530D,0.39%,-,0.37%,0.39%,0.37%,-0.02%
461,Intel Ironlake Arrandale,6.52%,6.61%,6.75%,6.87%,6.97%,+0.10%
462,AMD Radeon HD 6300M Series,-,0.36%,0.31%,-,0.34%,+0.34%
463,Intel Ironlake Clarkdale,2.43%,2.39%,2.57%,2.55%,2.47%,-0.08%
464,ATI Radeon HD 5500 Series,0.41%,0.42%,0.50%,0.39%,0.34%,-0.05%
465,NVIDIA GeForce 9600 GT,2.54%,2.44%,2.27%,1.96%,2.21%,+0.25%
466,Other,2.58%,1.78%,1.49%,2.03%,1.48%,-0.55%
467,NVIDIA GeForce GT 220,2.04%,1.86%,1.89%,1.51%,1.72%,+0.21%
468,Intel HD Graphics 3000,24.84%,24.83%,24.41%,25.09%,25.17%,+0.08%
469,NVIDIA GeForce GT 240,1.96%,2.07%,1.98%,1.91%,1.68%,-0.23%
470,NVIDIA GeForce 210,7.03%,7.29%,7.04%,6.77%,7.02%,+0.25%
471,NVIDIA GeForce GTS 250,1.71%,1.60%,1.50%,1.26%,1.49%,+0.23%
472,Intel HD Graphics 2000,6.84%,6.62%,6.10%,6.40%,5.98%,-0.42%
473,AMD Radeon HD 4350,0.99%,0.66%,0.77%,0.83%,0.90%,+0.07%
474,NVIDIA GeForce 9500 GT,2.47%,2.71%,2.38%,2.18%,2.30%,+0.12%
475,NVIDIA GeForce 9400 GT,0.92%,0.86%,0.95%,0.74%,0.84%,+0.10%
476,NVIDIA GeForce 9800 GT,2.14%,1.97%,1.87%,1.69%,1.88%,+0.19%
477,NVIDIA GeForce G210,0.60%,0.61%,0.62%,0.67%,0.59%,-0.08%
478,NVIDIA GeForce 8800 GTX,1.05%,1.07%,1.75%,1.90%,1.69%,-0.21%
479,ATI Mobility Radeon HD 4570,0.60%,0.66%,0.63%,0.70%,0.55%,-0.15%
480,ATI 760G,1.41%,1.64%,1.64%,1.49%,1.67%,+0.18%
481,NVIDIA GeForce GT 330M,0.49%,0.45%,0.44%,0.45%,0.51%,+0.06%
482,NVIDIA GeForce 8400 GS,1.35%,1.25%,1.33%,1.30%,1.01%,-0.29%
483,ATI Mobility Radeon HD 4200,0.42%,0.47%,0.44%,0.51%,0.42%,-0.09%
484,NVIDIA GeForce 310M,0.87%,0.92%,0.86%,0.76%,0.85%,+0.09%
485,AMD Radeon HD 4670,0.51%,0.58%,0.49%,0.51%,0.38%,-0.13%
486,AMD Radeon HD 4650,0.67%,0.63%,0.69%,0.58%,0.70%,+0.12%
487,AMD Radeon HD 4850,0.33%,0.35%,0.36%,-,0.32%,+0.32%
488,AMD Radeon HD 4200,0.40%,0.53%,0.46%,0.68%,0.56%,-0.12%
489,Other,9.08%,9.47%,8.95%,9.33%,9.46%,+0.13%
490,NVIDIA GeForce 8600 GT,0.70%,0.49%,0.51%,0.53%,0.54%,+0.01%
491,Intel Graphics Media Accelerator 3150,16.03%,16.21%,14.68%,14.74%,17.35%,+2.61%
492,NVIDIA GeForce GTX 260,0.44%,0.37%,0.45%,-,0.45%,+0.45%
493,Intel Graphics Media Accelerator 3600 Series,8.65%,7.65%,9.11%,8.96%,8.83%,-0.13%
494,NVIDIA NVS 3100M,0.53%,0.52%,0.46%,0.49%,0.41%,-0.08%
495,NVIDIA GeForce 7300 GT,1.78%,0.92%,2.53%,1.16%,2.21%,+1.05%
496,NVIDIA GeForce 315M,0.51%,0.47%,0.44%,0.38%,0.33%,-0.05%
497,NVIDIA GeForce 7900 GS,1.53%,1.53%,1.77%,1.45%,1.89%,+0.44%
498,NVIDIA GeForce 320M,0.49%,0.46%,0.43%,0.31%,0.31%,0.00%
499,ATI Radeon X800,-,-,-,-,1.58%,+1.58%
500,NVIDIA GeForce 7025,28.24%,29.66%,25.06%,25.72%,22.40%,-3.32%
501,ATI Radeon 2100,1.78%,0.61%,1.01%,1.45%,1.58%,+0.13%
502,NVIDIA GeForce 6150 SE,9.41%,10.09%,10.89%,10.98%,13.25%,+2.27%
503,NVIDIA GeForce 7100,1.02%,0.61%,1.27%,-,1.26%,+1.26%
504,ATI Radeon 3100,3.05%,3.36%,3.04%,4.91%,5.36%,+0.45%
505,NVIDIA GeForce 7300 GS,0.51%,-,1.01%,0.87%,1.26%,+0.39%
506,NVIDIA GeForce 7300 SE,4.83%,4.59%,4.30%,5.78%,2.21%,-3.57%
507,ATI Radeon X1300,1.53%,0.61%,1.77%,0.58%,1.26%,+0.68%
508,ATI Radeon X1550,1.53%,2.14%,2.53%,0.58%,1.89%,+1.31%
509,NVIDIA GeForce 7600 GS,1.27%,0.61%,1.52%,1.16%,0.95%,-0.21%
510,NVIDIA GeForce Go 7300,0.76%,-,-,-,1.58%,+1.58%
511,ATI Radeon X1950 Pro,0.76%,-,-,-,0.63%,+0.63%
512,ATI Radeon X700,0.51%,-,-,-,1.26%,+1.26%
513,NVIDIA GeForce Go 7400,0.76%,-,0.51%,-,0.63%,+0.63%
514,NVIDIA GeForce 6200,1.53%,1.83%,3.29%,2.02%,1.26%,-0.76%
515,NVIDIA GeForce 7300 LE,2.54%,1.53%,1.27%,2.02%,0.63%,-1.39%
516,ATI Radeon X1600,-,1.22%,1.52%,1.16%,1.26%,+0.10%
517,NVIDIA GeForce 7600 GT,0.76%,0.92%,1.27%,0.87%,0.63%,-0.24%
518,ATI Radeon X1650,0.76%,1.22%,0.51%,-,0.95%,+0.95%
519,NVIDIA GeForce 7100 GS,-,1.53%,0.76%,0.58%,0.63%,+0.05%
520,ATI Mobility Radeon X2300,-,-,0.51%,0.58%,0.95%,+0.37%
521,Intel G33/G31 Express,9.38%,6.90%,5.56%,-,20.00%,+20.00%
522,ATI Mobility Radeon X1600,-,-,-,-,0.63%,+0.63%
523,ATI Radeon X300,6.25%,10.34%,8.33%,10.53%,8.00%,-2.53%
524,NVIDIA GeForce 7050,0.51%,1.22%,1.01%,1.45%,0.63%,-0.82%
525,VIA/S3G UniChrome Pro IGP,15.63%,3.45%,8.33%,15.79%,8.00%,-7.79%
526,NVIDIA GeForce 6150 LE,0.51%,-,-,-,0.63%,+0.63%
527,ATI Mobility Radeon X600,-,-,-,-,4.00%,+4.00%
528,NVIDIA GeForce Go 6150,-,-,-,-,0.63%,+0.63%
529,Intel 82945G Express,9.38%,6.90%,5.56%,10.53%,4.00%,-6.53%
